0	sky	Cúpula HDRI	skyHdri	11,8,10	68,48,68
608	lower	Aro boca horno 3	terracotta	20.405000686645508,1.4840364456176758,6.619688510894775	0.07999999821186066,0.1599999964237213,0.18000000715255737
609	lower	Aro boca horno 4	terracotta	20.405000686645508,1.5099999904632568,6.75	0.07999999821186066,0.1599999964237213,0.18000000715255737
610	lower	Aro boca horno 5	terracotta	20.405000686645508,1.4840364456176758,6.880311489105225	0.07999999821186066,0.1599999964237213,0.18000000715255737
611	lower	Aro boca horno 6	terracotta	20.405000686645508,1.4101111888885498,6.990721225738525	0.07999999821186066,0.1599999964237213,0.18000000715255737
612	lower	Aro boca horno 7	terracotta	20.405000686645508,1.2995144128799438,7.064365863800049	0.07999999821186066,0.1599999964237213,0.18000000715255737
613	lower	Bacha profunda quincho A	blackMetal	20.639999389648438,0.9800000190734863,7.880000114440918	0.47999998927116394,0.12999999523162842,0.47999998927116394
614	lower	Bacha profunda quincho B	blackMetal	20.639999389648438,0.9800000190734863,8.420000076293945	0.47999998927116394,0.12999999523162842,0.47999998927116394
615	lower	Caño grifería quincho	stainless	20.510000228881836,1.4199999570846558,8.149999618530273	0.03500000014901161,0.03500000014901161,0.41999998688697815
616	lower	Brasero parrilla	blackMetal	20.719999313354492,1.2999999523162842,9.4399995803833	0.47999998927116394,0.18000000715255737,0.8199999928474426
617	lower	Cajón ceniza parrilla	blackMetal	20.5,0.7799999713897705,9.4399995803833	0.11999999731779099,0.23999999463558197,0.7200000286102295
618	lower	Varilla parrilla 1	stainless	20.3700008392334,1.1299999952316284,9.079999923706055	0.054999999701976776,0.02500000037252903,0.017999999225139618
619	lower	Varilla parrilla 2	stainless	20.3700008392334,1.1299999952316284,9.152999877929688	0.054999999701976776,0.02500000037252903,0.017999999225139618
620	lower	Varilla parrilla 3	stainless	20.3700008392334,1.1299999952316284,9.22599983215332	0.054999999701976776,0.02500000037252903,0.017999999225139618
621	lower	Varilla parrilla 4	stainless	20.3700008392334,1.1299999952316284,9.298999786376953	0.054999999701976776,0.02500000037252903,0.017999999225139618
622	lower	Varilla parrilla 5	stainless	20.3700008392334,1.1299999952316284,9.371999740600586	0.054999999701976776,0.02500000037252903,0.017999999225139618
623	lower	Varilla parrilla 6	stainless	20.3700008392334,1.1299999952316284,9.444999694824219	0.054999999701976776,0.02500000037252903,0.017999999225139618
624	lower	Varilla parrilla 7	stainless	20.3700008392334,1.1299999952316284,9.517999649047852	0.054999999701976776,0.02500000037252903,0.017999999225139618
625	lower	Varilla parrilla 8	stainless	20.3700008392334,1.1299999952316284,9.590999603271484	0.054999999701976776,0.02500000037252903,0.017999999225139618
626	lower	Varilla parrilla 9	stainless	20.3700008392334,1.1299999952316284,9.663999557495117	0.054999999701976776,0.02500000037252903,0.017999999225139618
627	lower	Varilla parrilla 10	stainless	20.3700008392334,1.1299999952316284,9.737000465393066	0.054999999701976776,0.02500000037252903,0.017999999225139618
628	lower	Varilla parrilla 11	stainless	20.3700008392334,1.1299999952316284,9.8100004196167	0.054999999701976776,0.02500000037252903,0.017999999225139618
629	lower	Labio campana parrilla	blackMetal	20.469999313354492,1.7200000286102295,9.4399995803833	0.14000000059604645,0.07999999821186066,0.9599999785423279
630	lower	Zócalo cocina mono lateral	blackMetal	14.479999542236328,0.30000001192092896,4.900000095367432	0.05999999865889549,0.1599999964237213,1.8799999952316284
631	lower	Zócalo cocina mono fondo	blackMetal	15.779999732971191,0.30000001192092896,5.659999847412109	2.119999885559082,0.1599999964237213,0.05999999865889549
632	lower	Frente cocina mono lateral 1	woodDark	14.229999542236328,0.6600000262260437,4.179999828338623	0.03500000014901161,0.699999988079071,0.3100000023841858
633	lower	Tirador cocina mono lateral 1	stainless	14.1899995803833,0.6899999976158142,4.179999828338623	0.02199999988079071,0.2199999988079071,0.03999999910593033
634	lower	Frente cocina mono lateral 2	woodDark	14.229999542236328,0.6600000262260437,4.550000190734863	0.03500000014901161,0.699999988079071,0.3100000023841858
635	lower	Tirador cocina mono lateral 2	stainless	14.1899995803833,0.6899999976158142,4.550000190734863	0.02199999988079071,0.2199999988079071,0.03999999910593033
636	lower	Frente cocina mono lateral 3	woodDark	14.229999542236328,0.6600000262260437,4.920000076293945	0.03500000014901161,0.699999988079071,0.3100000023841858
637	lower	Tirador cocina mono lateral 3	stainless	14.1899995803833,0.6899999976158142,4.920000076293945	0.02199999988079071,0.2199999988079071,0.03999999910593033
638	lower	Frente cocina mono lateral 4	woodDark	14.229999542236328,0.6600000262260437,5.289999961853027	0.03500000014901161,0.699999988079071,0.3100000023841858
639	lower	Tirador cocina mono lateral 4	stainless	14.1899995803833,0.6899999976158142,5.289999961853027	0.02199999988079071,0.2199999988079071,0.03999999910593033
640	lower	Frente cocina mono lateral 5	woodDark	14.229999542236328,0.6600000262260437,5.659999847412109	0.03500000014901161,0.699999988079071,0.3100000023841858
641	lower	Tirador cocina mono lateral 5	stainless	14.1899995803833,0.6899999976158142,5.659999847412109	0.02199999988079071,0.2199999988079071,0.03999999910593033
642	lower	Frente cocina mono fondo 1	woodDark	14.979999542236328,0.6600000262260437,5.900000095367432	0.47999998927116394,0.699999988079071,0.03500000014901161
643	lower	Tirador cocina mono fondo 1	stainless	14.979999542236328,0.6899999976158142,5.940000057220459	0.2199999988079071,0.02199999988079071,0.03999999910593033
644	lower	Frente cocina mono fondo 2	woodDark	15.529999732971191,0.6600000262260437,5.900000095367432	0.47999998927116394,0.699999988079071,0.03500000014901161
645	lower	Tirador cocina mono fondo 2	stainless	15.529999732971191,0.6899999976158142,5.940000057220459	0.2199999988079071,0.02199999988079071,0.03999999910593033
646	lower	Frente cocina mono fondo 3	woodDark	16.079999923706055,0.6600000262260437,5.900000095367432	0.47999998927116394,0.699999988079071,0.03500000014901161
647	lower	Tirador cocina mono fondo 3	stainless	16.079999923706055,0.6899999976158142,5.940000057220459	0.2199999988079071,0.02199999988079071,0.03999999910593033
648	lower	Frente cocina mono fondo 4	woodDark	16.6299991607666,0.6600000262260437,5.900000095367432	0.47999998927116394,0.699999988079071,0.03500000014901161
649	lower	Tirador cocina mono fondo 4	stainless	16.6299991607666,0.6899999976158142,5.940000057220459	0.2199999988079071,0.02199999988079071,0.03999999910593033
650	lower	Canto mesada isla mono	concreteDark	16.850000381469727,1.1549999713897705,4.550000190734863	1.7799999713897705,0.03500000014901161,0.9800000190734863
651	lower	Voladizo isla mono	concrete	16.850000381469727,1.1050000190734863,4.139999866485596	1.7000000476837158,0.09000000357627869,0.2199999988079071
652	lower	Luz bajo alacena mono	warmLight	14.3100004196167,1.7799999713897705,4.71999979019165	0.03500000014901161,0.05000000074505806,1.399999976158142
653	lower	Colgante isla mono A	warmLight	16.350000381469727,2.3299999237060547,4.550000190734863	0.1599999964237213,0.1599999964237213,0.1599999964237213
654	lower	Colgante isla mono B	warmLight	17.350000381469727,2.3299999237060547,4.550000190734863	0.1599999964237213,0.1599999964237213,0.1599999964237213
655	lower	Plato ducha baño mono	tile	20.93000030517578,0.23499999940395355,4.699999809265137	1.340000033378601,0.07000000029802322,0.6200000047683716
656	lower	Mampara baño mono	glass	20.25,1.2599999904632568,4.699999809265137	0.02500000037252903,1.9500000476837158,0.6200000047683716
657	lower	Ducha baño mono	stainless	21.43000030517578,1.9800000190734863,4.519999980926514	0.054999999701976776,0.11999999731779099,0.054999999701976776
658	lower	Barra toalla baño mono	stainless	19.56999969482422,1.2999999523162842,5.440000057220459	0.03999999910593033,0.03999999910593033,0.7200000286102295
659	upperDetail	Ducha baño vivienda	stainless	21.479999542236328,5.019999980926514,6.619999885559082	0.054999999701976776,0.11999999731779099,0.054999999701976776
660	upperDetail	Barra toalla baño vivienda	stainless	19.56999969482422,4.480000019073486,7.650000095367432	0.03999999910593033,0.03999999910593033,0.7200000286102295
661	upperDetail	Fader consola 1	stainless	18.270000457763672,4.269999980926514,1.7799999713897705	0.18000000715255737,0.02500000037252903,0.054999999701976776
662	upperDetail	Carril fader 1	blackMetal	18.270000457763672,4.252999782562256,1.7799999713897705	0.3199999928474426,0.017999999225139618,0.017999999225139618
663	upperDetail	Fader consola 2	stainless	18.270000457763672,4.269999980926514,2	0.18000000715255737,0.02500000037252903,0.054999999701976776
664	upperDetail	Carril fader 2	blackMetal	18.270000457763672,4.252999782562256,2	0.3199999928474426,0.017999999225139618,0.017999999225139618
665	upperDetail	Fader consola 3	stainless	18.270000457763672,4.269999980926514,2.2200000286102295	0.18000000715255737,0.02500000037252903,0.054999999701976776
666	upperDetail	Carril fader 3	blackMetal	18.270000457763672,4.252999782562256,2.2200000286102295	0.3199999928474426,0.017999999225139618,0.017999999225139618
667	upperDetail	Fader consola 4	stainless	18.270000457763672,4.269999980926514,2.440000057220459	0.18000000715255737,0.02500000037252903,0.054999999701976776
668	upperDetail	Carril fader 4	blackMetal	18.270000457763672,4.252999782562256,2.440000057220459	0.3199999928474426,0.017999999225139618,0.017999999225139618
669	upperDetail	Fader consola 5	stainless	18.270000457763672,4.269999980926514,2.6600000858306885	0.18000000715255737,0.02500000037252903,0.054999999701976776
670	upperDetail	Carril fader 5	blackMetal	18.270000457763672,4.252999782562256,2.6600000858306885	0.3199999928474426,0.017999999225139618,0.017999999225139618
671	upperDetail	Fader consola 6	stainless	18.270000457763672,4.269999980926514,2.880000114440918	0.18000000715255737,0.02500000037252903,0.054999999701976776
672	upperDetail	Carril fader 6	blackMetal	18.270000457763672,4.252999782562256,2.880000114440918	0.3199999928474426,0.017999999225139618,0.017999999225139618
673	upperDetail	Fader consola 7	stainless	18.270000457763672,4.269999980926514,3.0999999046325684	0.18000000715255737,0.02500000037252903,0.054999999701976776
674	upperDetail	Carril fader 7	blackMetal	18.270000457763672,4.252999782562256,3.0999999046325684	0.3199999928474426,0.017999999225139618,0.017999999225139618
675	upperDetail	Fader consola 8	stainless	18.270000457763672,4.269999980926514,3.319999933242798	0.18000000715255737,0.02500000037252903,0.054999999701976776
676	upperDetail	Carril fader 8	blackMetal	18.270000457763672,4.252999782562256,3.319999933242798	0.3199999928474426,0.017999999225139618,0.017999999225139618
677	upperDetail	Fader consola 9	stainless	18.270000457763672,4.269999980926514,3.5399999618530273	0.18000000715255737,0.02500000037252903,0.054999999701976776
678	upperDetail	Carril fader 9	blackMetal	18.270000457763672,4.252999782562256,3.5399999618530273	0.3199999928474426,0.017999999225139618,0.017999999225139618
679	upperDetail	Fader consola 10	stainless	18.270000457763672,4.269999980926514,3.759999990463257	0.18000000715255737,0.02500000037252903,0.054999999701976776
680	upperDetail	Carril fader 10	blackMetal	18.270000457763672,4.252999782562256,3.759999990463257	0.3199999928474426,0.017999999225139618,0.017999999225139618
681	upperDetail	Fader consola 11	stainless	18.270000457763672,4.269999980926514,3.9800000190734863	0.18000000715255737,0.02500000037252903,0.054999999701976776
682	upperDetail	Carril fader 11	blackMetal	18.270000457763672,4.252999782562256,3.9800000190734863	0.3199999928474426,0.017999999225139618,0.017999999225139618
683	upperDetail	Fader consola 12	stainless	18.270000457763672,4.269999980926514,4.199999809265137	0.18000000715255737,0.02500000037252903,0.054999999701976776
684	upperDetail	Carril fader 12	blackMetal	18.270000457763672,4.252999782562256,4.199999809265137	0.3199999928474426,0.017999999225139618,0.017999999225139618
685	upperDetail	Perilla consola 1	warmLight	18.049999237060547,4.304999828338623,1.649999976158142	0.03200000151991844,0.03500000014901161,0.03200000151991844
686	upperDetail	Perilla consola 2	blackMetal	18.049999237060547,4.304999828338623,2.0299999713897705	0.03200000151991844,0.03500000014901161,0.03200000151991844
687	upperDetail	Perilla consola 3	blackMetal	18.049999237060547,4.304999828338623,2.4100000858306885	0.03200000151991844,0.03500000014901161,0.03200000151991844
688	upperDetail	Perilla consola 4	warmLight	18.049999237060547,4.304999828338623,2.7899999618530273	0.03200000151991844,0.03500000014901161,0.03200000151991844
689	upperDetail	Perilla consola 5	blackMetal	18.049999237060547,4.304999828338623,3.1700000762939453	0.03200000151991844,0.03500000014901161,0.03200000151991844
690	upperDetail	Perilla consola 6	blackMetal	18.049999237060547,4.304999828338623,3.549999952316284	0.03200000151991844,0.03500000014901161,0.03200000151991844
691	upperDetail	Perilla consola 7	warmLight	18.049999237060547,4.304999828338623,3.930000066757202	0.03200000151991844,0.03500000014901161,0.03200000151991844
692	upperDetail	Perilla consola 8	blackMetal	18.049999237060547,4.304999828338623,4.309999942779541	0.03200000151991844,0.03500000014901161,0.03200000151991844
693	upperDetail	Perilla consola 9	blackMetal	18.049999237060547,4.424999713897705,1.649999976158142	0.03200000151991844,0.03500000014901161,0.03200000151991844
694	upperDetail	Perilla consola 10	warmLight	18.049999237060547,4.424999713897705,2.0299999713897705	0.03200000151991844,0.03500000014901161,0.03200000151991844
695	upperDetail	Perilla consola 11	blackMetal	18.049999237060547,4.424999713897705,2.4100000858306885	0.03200000151991844,0.03500000014901161,0.03200000151991844
696	upperDetail	Perilla consola 12	blackMetal	18.049999237060547,4.424999713897705,2.7899999618530273	0.03200000151991844,0.03500000014901161,0.03200000151991844
697	upperDetail	Perilla consola 13	warmLight	18.049999237060547,4.424999713897705,3.1700000762939453	0.03200000151991844,0.03500000014901161,0.03200000151991844
698	upperDetail	Perilla consola 14	blackMetal	18.049999237060547,4.424999713897705,3.549999952316284	0.03200000151991844,0.03500000014901161,0.03200000151991844
699	upperDetail	Perilla consola 15	blackMetal	18.049999237060547,4.424999713897705,3.930000066757202	0.03200000151991844,0.03500000014901161,0.03200000151991844
700	upperDetail	Perilla consola 16	warmLight	18.049999237060547,4.424999713897705,4.309999942779541	0.03200000151991844,0.03500000014901161,0.03200000151991844
701	upperDetail	Medidor consola izquierdo	screen	17.729999542236328,4.420000076293945,2.4800000190734863	0.03500000014901161,0.2199999988079071,0.47999998927116394
702	upperDetail	Medidor consola derecho	screen	17.729999542236328,4.420000076293945,3.5199999809265137	0.03500000014901161,0.2199999988079071,0.47999998927116394
703	upperDetail	Woofer estudio izquierdo detalle	screen	17.590999603271484,4.559999942779541,1.7799999713897705	0.10499999672174454,0.026000000536441803,0.10499999672174454
704	upperDetail	Tweeter estudio izquierdo detalle	stainless	17.590999603271484,4.820000171661377,1.7799999713897705	0.04800000041723251,0.026000000536441803,0.04800000041723251
705	upperDetail	Woofer estudio derecho detalle	screen	17.590999603271484,4.559999942779541,4.21999979019165	0.10499999672174454,0.026000000536441803,0.10499999672174454
706	upperDetail	Tweeter estudio derecho detalle	stainless	17.590999603271484,4.820000171661377,4.21999979019165	0.04800000041723251,0.026000000536441803,0.04800000041723251
707	upperDetail	Bafle cielorraso estudio 1	acoustic	15.149999618530273,5.889999866485596,3	0.9200000166893005,0.11999999731779099,2.5999999046325684
708	upperDetail	Bafle cielorraso estudio 2	acoustic	16.530000686645508,5.889999866485596,3	0.9200000166893005,0.11999999731779099,2.5999999046325684
709	upperDetail	Bafle cielorraso estudio 3	acoustic	17.90999984741211,5.889999866485596,3	0.9200000166893005,0.11999999731779099,2.5999999046325684
710	upperDetail	Bafle cielorraso estudio 4	acoustic	19.290000915527344,5.889999866485596,3	0.9200000166893005,0.11999999731779099,2.5999999046325684
711	upperDetail	Bafle cielorraso estudio 5	acoustic	20.670000076293945,5.889999866485596,3	0.9200000166893005,0.11999999731779099,2.5999999046325684
712	upperDetail	LED perimetral estudio lateral	warmLight	21.559999465942383,5.820000171661377,3	0.03500000014901161,0.03500000014901161,4.75
713	upperDetail	LED perimetral estudio ventana	warmLight	17.899999618530273,5.820000171661377,0.3400000035762787	5.5,0.03500000014901161,0.03500000014901161
714	ground	Tutor huerta 1-1	woodDark	2.430000066757202,0.7200000286102295,4.199999809265137	0.017999999225139618,1.3200000524520874,0.017999999225139618
715	ground	Tutor huerta 1-2	woodDark	2.9100000858306885,0.7200000286102295,4.199999809265137	0.017999999225139618,1.3200000524520874,0.017999999225139618
716	ground	Tutor huerta 1-3	woodDark	3.390000104904175,0.7200000286102295,4.199999809265137	0.017999999225139618,1.3200000524520874,0.017999999225139618
717	ground	Tutor huerta 1-4	woodDark	3.869999885559082,0.7200000286102295,4.199999809265137	0.017999999225139618,1.3200000524520874,0.017999999225139618
718	ground	Hilo tutor huerta 1	stainless	3.1500000953674316,0.9200000166893005,4.199999809265137	1.5499999523162842,0.012000000104308128,0.012000000104308128
719	ground	Tutor huerta 2-1	woodDark	5.429999828338623,0.7200000286102295,4.199999809265137	0.017999999225139618,1.3200000524520874,0.017999999225139618
720	ground	Tutor huerta 2-2	woodDark	5.909999847412109,0.7200000286102295,4.199999809265137	0.017999999225139618,1.3200000524520874,0.017999999225139618
721	ground	Tutor huerta 2-3	woodDark	6.389999866485596,0.7200000286102295,4.199999809265137	0.017999999225139618,1.3200000524520874,0.017999999225139618
722	ground	Tutor huerta 2-4	woodDark	6.869999885559082,0.7200000286102295,4.199999809265137	0.017999999225139618,1.3200000524520874,0.017999999225139618
723	ground	Hilo tutor huerta 2	stainless	6.150000095367432,0.9200000166893005,4.199999809265137	1.5499999523162842,0.012000000104308128,0.012000000104308128
724	ground	Tutor huerta 3-1	woodDark	2.430000066757202,0.7200000286102295,7.150000095367432	0.017999999225139618,1.3200000524520874,0.017999999225139618
725	ground	Tutor huerta 3-2	woodDark	2.9100000858306885,0.7200000286102295,7.150000095367432	0.017999999225139618,1.3200000524520874,0.017999999225139618
726	ground	Tutor huerta 3-3	woodDark	3.390000104904175,0.7200000286102295,7.150000095367432	0.017999999225139618,1.3200000524520874,0.017999999225139618
727	ground	Tutor huerta 3-4	woodDark	3.869999885559082,0.7200000286102295,7.150000095367432	0.017999999225139618,1.3200000524520874,0.017999999225139618
728	ground	Hilo tutor huerta 3	stainless	3.1500000953674316,0.9200000166893005,7.150000095367432	1.5499999523162842,0.012000000104308128,0.012000000104308128
729	ground	Tutor huerta 4-1	woodDark	5.429999828338623,0.7200000286102295,7.150000095367432	0.017999999225139618,1.3200000524520874,0.017999999225139618
730	ground	Tutor huerta 4-2	woodDark	5.909999847412109,0.7200000286102295,7.150000095367432	0.017999999225139618,1.3200000524520874,0.017999999225139618
731	ground	Tutor huerta 4-3	woodDark	6.389999866485596,0.7200000286102295,7.150000095367432	0.017999999225139618,1.3200000524520874,0.017999999225139618
732	ground	Tutor huerta 4-4	woodDark	6.869999885559082,0.7200000286102295,7.150000095367432	0.017999999225139618,1.3200000524520874,0.017999999225139618
733	ground	Hilo tutor huerta 4	stainless	6.150000095367432,0.9200000166893005,7.150000095367432	1.5499999523162842,0.012000000104308128,0.012000000104308128
734	ground	Regadera huerta	blackMetal	7.920000076293945,0.4699999988079071,6.179999828338623	0.41999998688697815,0.41999998688697815,0.2800000011920929
735	ground	Pico regadera huerta	blackMetal	7.630000114440918,0.5299999713897705,6.179999828338623	0.03999999910593033,0.5199999809265137,0.03999999910593033
736	ground	Hojas de huerta 0	leaf	0,0,0	1,1,1
737	ground	Tallo hortaliza 1-0	woodDark	5.400000095367432,0.6499999761581421,3.9600000381469727	0.008999999612569809,0.8700000047683716,0.008999999612569809
738	ground	Tallo hortaliza 1-1	woodDark	5.900000095367432,0.6499999761581421,3.9600000381469727	0.008999999612569809,0.8700000047683716,0.008999999612569809
739	ground	Tallo hortaliza 1-2	woodDark	6.400000095367432,0.6499999761581421,3.9600000381469727	0.008999999612569809,0.8700000047683716,0.008999999612569809
740	ground	Tallo hortaliza 1-3	woodDark	6.900000095367432,0.6499999761581421,3.9600000381469727	0.008999999612569809,0.8700000047683716,0.008999999612569809
741	ground	Tallo hortaliza 1-4	woodDark	5.400000095367432,0.6499999761581421,4.440000057220459	0.008999999612569809,0.8700000047683716,0.008999999612569809
742	ground	Tallo hortaliza 1-5	woodDark	5.900000095367432,0.6499999761581421,4.440000057220459	0.008999999612569809,0.8700000047683716,0.008999999612569809
743	ground	Tallo hortaliza 1-6	woodDark	6.400000095367432,0.6499999761581421,4.440000057220459	0.008999999612569809,0.8700000047683716,0.008999999612569809
744	ground	Tallo hortaliza 1-7	woodDark	6.900000095367432,0.6499999761581421,4.440000057220459	0.008999999612569809,0.8700000047683716,0.008999999612569809
745	ground	Hojas de huerta 1	leaf	0,0,0	1,1,1
746	ground	Hojas de huerta 2	leaf	0,0,0	1,1,1
747	ground	Tallo hortaliza 3-0	woodDark	5.400000095367432,0.6499999761581421,6.909999847412109	0.008999999612569809,0.8700000047683716,0.008999999612569809
748	ground	Tallo hortaliza 3-1	woodDark	5.900000095367432,0.6499999761581421,6.909999847412109	0.008999999612569809,0.8700000047683716,0.008999999612569809
749	ground	Tallo hortaliza 3-2	woodDark	6.400000095367432,0.6499999761581421,6.909999847412109	0.008999999612569809,0.8700000047683716,0.008999999612569809
750	ground	Tallo hortaliza 3-3	woodDark	6.900000095367432,0.6499999761581421,6.909999847412109	0.008999999612569809,0.8700000047683716,0.008999999612569809
751	ground	Tallo hortaliza 3-4	woodDark	5.400000095367432,0.6499999761581421,7.389999866485596	0.008999999612569809,0.8700000047683716,0.008999999612569809
752	ground	Tallo hortaliza 3-5	woodDark	5.900000095367432,0.6499999761581421,7.389999866485596	0.008999999612569809,0.8700000047683716,0.008999999612569809
753	ground	Tallo hortaliza 3-6	woodDark	6.400000095367432,0.6499999761581421,7.389999866485596	0.008999999612569809,0.8700000047683716,0.008999999612569809
754	ground	Tallo hortaliza 3-7	woodDark	6.900000095367432,0.6499999761581421,7.389999866485596	0.008999999612569809,0.8700000047683716,0.008999999612569809
755	ground	Hojas de huerta 3	leaf	0,0,0	1,1,1
756	ground	Césped volumétrico 0-0	blade	1,0,1	1,1,1
757	ground	Césped volumétrico 1-0	blade	3,0,1	1,1,1
758	ground	Césped volumétrico 2-0	blade	5,0,1	1,1,1
759	ground	Césped volumétrico 3-0	blade	7,0,1	1,1,1
760	ground	Césped volumétrico 4-0	blade	9,0,1	1,1,1
761	ground	Césped volumétrico 5-0	blade	11,0,1	1,1,1
762	ground	Césped volumétrico 6-0	blade	13,0,1	1,1,1
763	ground	Césped volumétrico 0-1	blade	1,0,3	1,1,1
764	ground	Césped volumétrico 1-1	blade	3,0,3	1,1,1
765	ground	Césped volumétrico 2-1	blade	5,0,3	1,1,1
766	ground	Césped volumétrico 3-1	blade	7,0,3	1,1,1
767	ground	Césped volumétrico 4-1	blade	9,0,3	1,1,1
768	ground	Césped volumétrico 5-1	blade	11,0,3	1,1,1
769	ground	Césped volumétrico 6-1	blade	13,0,3	1,1,1
770	ground	Césped volumétrico 0-2	blade	1,0,5	1,1,1
771	ground	Césped volumétrico 4-2	blade	9,0,5	1,1,1
772	ground	Césped volumétrico 5-2	blade	11,0,5	1,1,1
773	ground	Césped volumétrico 6-2	blade	13,0,5	1,1,1
774	ground	Césped volumétrico 0-3	blade	1,0,7	1,1,1
775	ground	Césped volumétrico 4-3	blade	9,0,7	1,1,1
776	ground	Césped volumétrico 5-3	blade	11,0,7	1,1,1
777	ground	Césped volumétrico 6-3	blade	13,0,7	1,1,1
778	ground	Césped volumétrico 0-4	blade	1,0,9	1,1,1
779	ground	Césped volumétrico 1-4	blade	3,0,9	1,1,1
780	ground	Césped volumétrico 2-4	blade	5,0,9	1,1,1
781	ground	Césped volumétrico 3-4	blade	7,0,9	1,1,1
782	ground	Césped volumétrico 4-4	blade	9,0,9	1,1,1
783	ground	Césped volumétrico 5-4	blade	11,0,9	1,1,1
784	ground	Césped volumétrico 6-4	blade	13,0,9	1,1,1
785	ground	Césped volumétrico 0-5	blade	1,0,11	1,1,1
786	ground	Césped volumétrico 1-5	blade	3,0,11	1,1,1
787	ground	Césped volumétrico 2-5	blade	5,0,11	1,1,1
788	ground	Césped volumétrico 3-5	blade	7,0,11	1,1,1
789	ground	Césped volumétrico 4-5	blade	9,0,11	1,1,1
790	ground	Césped volumétrico 5-5	blade	11,0,11	1,1,1
791	ground	Césped volumétrico 6-5	blade	13,0,11	1,1,1
792	ground	Césped volumétrico 0-6	blade	1,0,13	1,1,1
793	ground	Césped volumétrico 1-6	blade	3,0,13	1,1,1
794	ground	Césped volumétrico 2-6	blade	5,0,13	1,1,1
795	ground	Césped volumétrico 3-6	blade	7,0,13	1,1,1
796	ground	Césped volumétrico 4-6	blade	9,0,13	1,1,1
797	ground	Césped volumétrico 5-6	blade	11,0,13	1,1,1
798	ground	Césped volumétrico 6-6	blade	13,0,13	1,1,1
799	ground	Césped volumétrico 7-6	blade	15,0,13	1,1,1
800	ground	Césped volumétrico 8-6	blade	17,0,13	1,1,1
801	ground	Césped volumétrico 9-6	blade	19,0,13	1,1,1
802	ground	Césped volumétrico 10-6	blade	21,0,13	1,1,1
803	ground	Césped volumétrico 0-7	blade	1,0,15	1,1,1
804	ground	Césped volumétrico 1-7	blade	3,0,15	1,1,1
805	ground	Césped volumétrico 2-7	blade	5,0,15	1,1,1
806	ground	Césped volumétrico 3-7	blade	7,0,15	1,1,1
807	ground	Césped volumétrico 4-7	blade	9,0,15	1,1,1
808	ground	Césped volumétrico 5-7	blade	11,0,15	1,1,1
809	ground	Césped volumétrico 10-7	blade	21,0,15	1,1,1
810	ground	Césped volumétrico 0-8	blade	1,0,17	1,1,1
811	ground	Césped volumétrico 1-8	blade	3,0,17	1,1,1
812	ground	Césped volumétrico 2-8	blade	5,0,17	1,1,1
813	ground	Césped volumétrico 3-8	blade	7,0,17	1,1,1
814	ground	Césped volumétrico 4-8	blade	9,0,17	1,1,1
815	ground	Césped volumétrico 5-8	blade	11,0,17	1,1,1
816	ground	Césped volumétrico 10-8	blade	21,0,17	1,1,1
817	ground	Césped volumétrico 0-9	blade	1,0,19	1,1,1
818	ground	Césped volumétrico 1-9	blade	3,0,19	1,1,1
819	ground	Césped volumétrico 2-9	blade	5,0,19	1,1,1
820	ground	Césped volumétrico 3-9	blade	7,0,19	1,1,1
821	ground	Césped volumétrico 4-9	blade	9,0,19	1,1,1
822	ground	Césped volumétrico 5-9	blade	11,0,19	1,1,1
823	ground	Césped volumétrico 6-9	blade	13,0,19	1,1,1
824	ground	Césped volumétrico 7-9	blade	15,0,19	1,1,1
825	ground	Césped volumétrico 8-9	blade	17,0,19	1,1,1
826	ground	Césped volumétrico 9-9	blade	19,0,19	1,1,1
827	ground	Césped volumétrico 10-9	blade	21,0,19	1,1,1
828	upperDetail	Zócalo dormitorio	woodDark	15.850000381469727,3.255000114440918,6.130000114440918	3.3499999046325684,0.10000000149011612,0.03200000151991844
829	upperDetail	Maceta balcón	terracotta	21.43000030517578,3.359999895095825,12.5	0.17000000178813934,0.36000001430511475,0.17000000178813934
830	upperDetail	Alfombra estudio	fabric	18.18000030517578,3.244999885559082,3	3.75,0.02800000086426735,2.3499999046325684
831	upperDetail	Controlador estudio	blackMetal	18.549999237060547,4.239999771118164,3	0.7200000286102295,0.054999999701976776,1.0800000429153442
832	upperDetail	Rack estudio inferior	woodDark	20.739999771118164,3.7799999713897705,1.5499999523162842	0.5400000214576721,1.2999999523162842,0.6600000262260437
833	upperDetail	Rack estudio frente	blackMetal	20.479999542236328,4.239999771118164,1.5499999523162842	0.05999999865889549,0.699999988079071,0.5400000214576721
834	upperDetail	Mueble apoyo estudio	woodDark	20.399999618530273,3.5999999046325684,4.78000020980835	1.2799999713897705,0.3400000035762787,0.46000000834465027
835	upperDetail	Librero estudio	woodDark	20.8799991607666,4.78000020980835,4.860000133514404	0.20000000298023224,1.7400000095367432,0.8199999928474426
836	upperDetail	Panel acústico trasero 1	acoustic	15.550000190734863,4.840000152587891,5.730000019073486	1.0499999523162842,1.2599999904632568,0.07999999821186066
837	upperDetail	Panel acústico trasero 2	acoustic	17.100000381469727,4.840000152587891,5.730000019073486	1.0499999523162842,1.2599999904632568,0.07999999821186066
838	upperDetail	Panel acústico trasero 3	acoustic	18.649999618530273,4.840000152587891,5.730000019073486	1.0499999523162842,1.2599999904632568,0.07999999821186066
